Amount,Vendor,Date,Category,Description
217.42,"Office Depot",2025-02-26,"Utilities","Utilities purchase from Office Depot"
47261.41,"Professional Services LLC",2025-08-31,"Meals","Meals purchase from Professional Services LLC"
423.51,"City Utilities",2025-12-13,"Maintenance","Maintenance purchase from City Utilities"
450.37,"QuickMart",2025-06-08,"Equipment","Equipment purchase from QuickMart"
375807.10,"XYZ Industries",2025-07-04,"Professional Services","Professional Services purchase from XYZ Industries"
3000.00,"Round Numbers Ltd",2025-10-06,"Maintenance","Maintenance purchase from Round Numbers Ltd"
1112.46,"Quality Supplies",2025-04-09,"Professional Services","Professional Services purchase from Quality Supplies"
251.38,"Express Delivery",2025-05-31,"Utilities","Utilities purchase from Express Delivery"
1029.96,"Elite Consulting",2025-07-22,"Software","Software purchase from Elite Consulting"
148.31,"Office Depot",2026-01-12,"Professional Services","Professional Services purchase from Office Depot"
13.58,"Elite Consulting",2025-05-26,"Software","Software purchase from Elite Consulting"
33593.56,"XYZ Industries",2025-06-24,"Office Supplies","Office Supplies purchase from XYZ Industries"
4984.69,"Corporate Travel",2025-03-27,"Travel","Travel purchase from Corporate Travel"
30000.00,"Shell Company A",2025-10-03,"Office Supplies","Office Supplies purchase from Shell Company A"
198.76,"Digital Solutions",2025-09-14,"Office Supplies","Office Supplies purchase from Digital Solutions"
178.59,"Elite Consulting",2025-05-27,"Transportation","Transportation purchase from Elite Consulting"
1464.91,"Standard Equipment",2025-03-30,"Meals","Meals purchase from Standard Equipment"
4495.60,"XYZ Industries",2025-05-04,"Meals","Meals purchase from XYZ Industries"
492.41,"Office Depot",2025-12-15,"Consulting","Consulting purchase from Office Depot"
3735.96,"City Utilities",2025-02-27,"Meals","Meals purchase from City Utilities"
2960.34,"Professional Services LLC",2025-12-16,"Software","Software purchase from Professional Services LLC"
1809.04,"QuickMart",2025-11-29,"Consulting","Consulting purchase from QuickMart"
2454.60,"City Utilities",2025-09-12,"Meals","Meals purchase from City Utilities"
1881.91,"Office Depot",2025-03-22,"Office Supplies","Office Supplies purchase from Office Depot"
375165.87,"Premier Catering",2025-08-31,"Consulting","Consulting purchase from Premier Catering"
81.65,"Quality Supplies",2025-08-26,"Software","Software purchase from Quality Supplies"
13533.07,"ABC Corporation",2025-04-03,"Transportation","Transportation purchase from ABC Corporation"
435.98,"Office Depot",2025-03-25,"Software","Software purchase from Office Depot"
2575.83,"Metro Transit",2025-04-24,"Maintenance","Maintenance purchase from Metro Transit"
322.67,"Elite Consulting",2025-07-01,"Office Supplies","Office Supplies purchase from Elite Consulting"
474.79,"Quality Supplies",2025-08-22,"Travel","Travel purchase from Quality Supplies"
57538.33,"Fraudulent Patterns Inc",2025-11-20,"Maintenance","Maintenance purchase from Fraudulent Patterns Inc"
492.80,"Professional Services LLC",2025-04-04,"Software","Software purchase from Professional Services LLC"
3000.00,"Round Numbers Ltd",2025-08-31,"Transportation","Transportation purchase from Round Numbers Ltd"
4940.96,"Quality Supplies",2026-01-08,"Transportation","Transportation purchase from Quality Supplies"
4945.64,"Digital Solutions",2025-11-09,"Transportation","Transportation purchase from Digital Solutions"
163.30,"XYZ Industries",2025-04-06,"Equipment","Equipment purchase from XYZ Industries"
158.42,"Elite Consulting",2025-06-26,"Transportation","Transportation purchase from Elite Consulting"
36.58,"TechCorp Solutions",2025-12-04,"Consulting","Consulting purchase from TechCorp Solutions"
486.70,"Metro Transit",2026-01-12,"Transportation","Transportation purchase from Metro Transit"
39327.19,"XYZ Industries",2026-01-11,"Transportation","Transportation purchase from XYZ Industries"
4523.02,"XYZ Industries",2025-02-27,"Professional Services","Professional Services purchase from XYZ Industries"
35275.84,"Corporate Travel",2025-10-17,"Transportation","Transportation purchase from Corporate Travel"
36119.20,"Office Depot",2025-02-27,"Office Supplies","Office Supplies purchase from Office Depot"
169265.12,"Corporate Travel",2025-09-07,"Consulting","Consulting purchase from Corporate Travel"
4912.45,"Quality Supplies",2025-09-07,"Office Supplies","Office Supplies purchase from Quality Supplies"
1685.17,"TechCorp Solutions",2025-05-04,"Meals","Meals purchase from TechCorp Solutions"
3618.82,"TechCorp Solutions",2025-10-08,"Transportation","Transportation purchase from TechCorp Solutions"
9945.56,"Shell Company A",2026-01-24,"Utilities","Utilities purchase from Shell Company A"
1000.00,"Round Numbers Ltd",2025-02-04,"Software","Software purchase from Round Numbers Ltd"
390750.69,"Professional Services LLC",2026-01-07,"Equipment","Equipment purchase from Professional Services LLC"
208.47,"Standard Equipment",2025-07-26,"Consulting","Consulting purchase from Standard Equipment"
3989.78,"Quality Supplies",2025-09-08,"Meals","Meals purchase from Quality Supplies"
126.53,"Elite Consulting",2025-07-28,"Utilities","Utilities purchase from Elite Consulting"
25981.70,"Global Supplies Inc",2025-10-31,"Consulting","Consulting purchase from Global Supplies Inc"
30000.00,"Shell Company A",2025-05-17,"Software","Software purchase from Shell Company A"
43353.14,"Professional Services LLC",2025-08-20,"Equipment","Equipment purchase from Professional Services LLC"
279.83,"Express Delivery",2025-02-18,"Equipment","Equipment purchase from Express Delivery"
134.05,"Premier Catering",2025-05-21,"Office Supplies","Office Supplies purchase from Premier Catering"
3644.92,"Office Depot",2025-10-29,"Maintenance","Maintenance purchase from Office Depot"
795.33,"Express Delivery",2025-09-21,"Consulting","Consulting purchase from Express Delivery"
34152.04,"City Utilities",2025-02-16,"Office Supplies","Office Supplies purchase from City Utilities"
4154.92,"City Utilities",2025-09-12,"Office Supplies","Office Supplies purchase from City Utilities"
484.17,"Corporate Travel",2025-11-02,"Meals","Meals purchase from Corporate Travel"
71.78,"City Utilities",2025-10-28,"Transportation","Transportation purchase from City Utilities"
45804.13,"Premier Catering",2025-10-05,"Maintenance","Maintenance purchase from Premier Catering"
496.21,"Premier Catering",2025-08-07,"Transportation","Transportation purchase from Premier Catering"
181.73,"ABC Corporation",2025-09-16,"Travel","Travel purchase from ABC Corporation"
48048.37,"Office Depot",2025-10-04,"Equipment","Equipment purchase from Office Depot"
4362.43,"Premier Catering",2025-05-09,"Maintenance","Maintenance purchase from Premier Catering"
212913.29,"TechCorp Solutions",2025-11-13,"Equipment","Equipment purchase from TechCorp Solutions"
418.40,"Global Supplies Inc",2025-03-30,"Meals","Meals purchase from Global Supplies Inc"
448.66,"ABC Corporation",2026-01-20,"Meals","Meals purchase from ABC Corporation"
6426.54,"Artificial Vendor Co",2025-02-24,"Office Supplies","Office Supplies purchase from Artificial Vendor Co"
95.56,"Corporate Travel",2025-10-06,"Maintenance","Maintenance purchase from Corporate Travel"
2000.00,"Artificial Vendor Co",2025-06-19,"Consulting","Consulting purchase from Artificial Vendor Co"
24933.70,"Round Numbers Ltd",2025-06-04,"Travel","Travel purchase from Round Numbers Ltd"
264.89,"XYZ Industries",2025-09-16,"Equipment","Equipment purchase from XYZ Industries"
61918.75,"Artificial Vendor Co",2025-11-19,"Software","Software purchase from Artificial Vendor Co"
3175.38,"ABC Corporation",2026-01-11,"Office Supplies","Office Supplies purchase from ABC Corporation"
47344.54,"Fraudulent Patterns Inc",2025-12-25,"Software","Software purchase from Fraudulent Patterns Inc"
336613.61,"Professional Services LLC",2025-05-06,"Meals","Meals purchase from Professional Services LLC"
1858.06,"Office Depot",2025-05-30,"Utilities","Utilities purchase from Office Depot"
455.95,"Metro Transit",2025-10-27,"Software","Software purchase from Metro Transit"
375008.55,"Quality Supplies",2025-11-02,"Transportation","Transportation purchase from Quality Supplies"
399.90,"Quality Supplies",2025-03-14,"Travel","Travel purchase from Quality Supplies"
466.92,"Metro Transit",2025-06-15,"Office Supplies","Office Supplies purchase from Metro Transit"
461.95,"XYZ Industries",2025-07-06,"Software","Software purchase from XYZ Industries"
4920.61,"Fraudulent Patterns Inc",2025-05-21,"Professional Services","Professional Services purchase from Fraudulent Patterns Inc"
162.34,"Metro Transit",2025-05-23,"Software","Software purchase from Metro Transit"
27.60,"Metro Transit",2025-04-29,"Travel","Travel purchase from Metro Transit"
882.36,"Professional Services LLC",2025-10-06,"Professional Services","Professional Services purchase from Professional Services LLC"
62387.22,"Digit Manipulation Corp",2025-02-27,"Meals","Meals purchase from Digit Manipulation Corp"
609762.79,"Shell Company A",2025-08-10,"Transportation","Transportation purchase from Shell Company A"
10000.00,"Digit Manipulation Corp",2025-08-17,"Transportation","Transportation purchase from Digit Manipulation Corp"
43741.82,"Global Supplies Inc",2025-06-30,"Professional Services","Professional Services purchase from Global Supplies Inc"
453.92,"Metro Transit",2025-02-13,"Meals","Meals purchase from Metro Transit"
41961.17,"QuickMart",2025-03-24,"Meals","Meals purchase from QuickMart"
257.04,"Quality Supplies",2025-06-26,"Transportation","Transportation purchase from Quality Supplies"
4384.32,"ABC Corporation",2025-12-21,"Consulting","Consulting purchase from ABC Corporation"
43229.55,"City Utilities",2025-10-23,"Travel","Travel purchase from City Utilities"
1258.79,"QuickMart",2026-01-20,"Transportation","Transportation purchase from QuickMart"
443.85,"Metro Transit",2025-04-05,"Consulting","Consulting purchase from Metro Transit"
1462.15,"Elite Consulting",2025-10-14,"Software","Software purchase from Elite Consulting"
331.06,"Global Supplies Inc",2025-07-25,"Utilities","Utilities purchase from Global Supplies Inc"
48079.42,"Elite Consulting",2026-01-31,"Consulting","Consulting purchase from Elite Consulting"
143.41,"Professional Services LLC",2025-06-19,"Transportation","Transportation purchase from Professional Services LLC"
41.19,"Metro Transit",2025-10-02,"Consulting","Consulting purchase from Metro Transit"
254.49,"Digital Solutions",2025-08-14,"Equipment","Equipment purchase from Digital Solutions"
1947.54,"Quality Supplies",2025-03-24,"Meals","Meals purchase from Quality Supplies"
1000.00,"Fraudulent Patterns Inc",2025-03-05,"Maintenance","Maintenance purchase from Fraudulent Patterns Inc"
30525.58,"Elite Consulting",2025-05-05,"Meals","Meals purchase from Elite Consulting"
909.50,"Artificial Vendor Co",2025-04-13,"Equipment","Equipment purchase from Artificial Vendor Co"
4082.89,"Elite Consulting",2025-10-17,"Meals","Meals purchase from Elite Consulting"
4312.93,"City Utilities",2025-08-19,"Office Supplies","Office Supplies purchase from City Utilities"
4980.35,"Shell Company A",2025-09-09,"Office Supplies","Office Supplies purchase from Shell Company A"
3709.34,"Metro Transit",2025-06-26,"Travel","Travel purchase from Metro Transit"
906.79,"Shell Company A",2025-04-07,"Professional Services","Professional Services purchase from Shell Company A"
10000.00,"Artificial Vendor Co",2026-01-30,"Utilities","Utilities purchase from Artificial Vendor Co"
2160.68,"Premier Catering",2025-09-20,"Travel","Travel purchase from Premier Catering"
317.52,"Express Delivery",2026-01-03,"Travel","Travel purchase from Express Delivery"
24917.81,"Fraudulent Patterns Inc",2025-11-24,"Consulting","Consulting purchase from Fraudulent Patterns Inc"
22633.94,"ABC Corporation",2025-03-25,"Equipment","Equipment purchase from ABC Corporation"
233.68,"Corporate Travel",2025-08-18,"Travel","Travel purchase from Corporate Travel"
675.51,"Quality Supplies",2026-01-30,"Meals","Meals purchase from Quality Supplies"
42729.25,"Corporate Travel",2025-10-10,"Transportation","Transportation purchase from Corporate Travel"
424.98,"Digital Solutions",2025-06-23,"Meals","Meals purchase from Digital Solutions"
367.16,"QuickMart",2025-10-16,"Maintenance","Maintenance purchase from QuickMart"
58495.44,"Fraudulent Patterns Inc",2025-02-15,"Professional Services","Professional Services purchase from Fraudulent Patterns Inc"
61.29,"ABC Corporation",2025-12-26,"Equipment","Equipment purchase from ABC Corporation"
337.31,"ABC Corporation",2025-02-17,"Transportation","Transportation purchase from ABC Corporation"
185.93,"QuickMart",2025-11-20,"Software","Software purchase from QuickMart"
4968.42,"Artificial Vendor Co",2025-12-14,"Travel","Travel purchase from Artificial Vendor Co"
377.99,"TechCorp Solutions",2025-02-21,"Travel","Travel purchase from TechCorp Solutions"
6486.93,"Shell Company A",2025-07-02,"Transportation","Transportation purchase from Shell Company A"
9814.87,"Elite Consulting",2025-05-15,"Maintenance","Maintenance purchase from Elite Consulting"
29347.00,"Professional Services LLC",2025-05-07,"Utilities","Utilities purchase from Professional Services LLC"
43.67,"XYZ Industries",2026-01-28,"Office Supplies","Office Supplies purchase from XYZ Industries"
152.27,"Express Delivery",2025-02-25,"Consulting","Consulting purchase from Express Delivery"
465.55,"Corporate Travel",2025-07-08,"Transportation","Transportation purchase from Corporate Travel"
929.32,"Artificial Vendor Co",2025-05-13,"Travel","Travel purchase from Artificial Vendor Co"
335.66,"Premier Catering",2025-11-28,"Consulting","Consulting purchase from Premier Catering"
24973.24,"Shell Company A",2025-11-02,"Professional Services","Professional Services purchase from Shell Company A"
147.95,"QuickMart",2025-08-15,"Equipment","Equipment purchase from QuickMart"
280.84,"Global Supplies Inc",2025-03-03,"Utilities","Utilities purchase from Global Supplies Inc"
701.31,"TechCorp Solutions",2025-11-05,"Professional Services","Professional Services purchase from TechCorp Solutions"
20000.00,"Fraudulent Patterns Inc",2025-06-15,"Office Supplies","Office Supplies purchase from Fraudulent Patterns Inc"
130.20,"Express Delivery",2025-03-14,"Utilities","Utilities purchase from Express Delivery"
368.55,"Professional Services LLC",2025-08-09,"Professional Services","Professional Services purchase from Professional Services LLC"
3000.00,"Fraudulent Patterns Inc",2025-07-17,"Maintenance","Maintenance purchase from Fraudulent Patterns Inc"
109.32,"Digital Solutions",2025-09-08,"Meals","Meals purchase from Digital Solutions"
437.47,"Elite Consulting",2026-01-03,"Equipment","Equipment purchase from Elite Consulting"
129.36,"Elite Consulting",2025-08-07,"Utilities","Utilities purchase from Elite Consulting"
75.00,"Elite Consulting",2025-06-04,"Travel","Travel purchase from Elite Consulting"
375885.87,"Professional Services LLC",2025-07-26,"Transportation","Transportation purchase from Professional Services LLC"
2522.65,"Metro Transit",2025-11-08,"Professional Services","Professional Services purchase from Metro Transit"
996.08,"ABC Corporation",2025-09-10,"Travel","Travel purchase from ABC Corporation"
3882.36,"Office Depot",2025-07-17,"Software","Software purchase from Office Depot"
2254.10,"Office Depot",2025-06-05,"Meals","Meals purchase from Office Depot"
3481.50,"Express Delivery",2025-05-26,"Travel","Travel purchase from Express Delivery"
399.85,"TechCorp Solutions",2025-07-09,"Travel","Travel purchase from TechCorp Solutions"
5790.14,"Shell Company A",2025-03-18,"Professional Services","Professional Services purchase from Shell Company A"
13.40,"ABC Corporation",2025-03-25,"Utilities","Utilities purchase from ABC Corporation"
360.77,"Professional Services LLC",2025-12-04,"Professional Services","Professional Services purchase from Professional Services LLC"
198.26,"Digital Solutions",2025-02-08,"Utilities","Utilities purchase from Digital Solutions"
4930.31,"Round Numbers Ltd",2026-01-28,"Transportation","Transportation purchase from Round Numbers Ltd"
218922.03,"ABC Corporation",2025-03-03,"Equipment","Equipment purchase from ABC Corporation"
76.66,"Digital Solutions",2025-09-04,"Office Supplies","Office Supplies purchase from Digital Solutions"
343.34,"City Utilities",2025-09-22,"Utilities","Utilities purchase from City Utilities"
42099.87,"Standard Equipment",2025-11-06,"Equipment","Equipment purchase from Standard Equipment"
194.60,"Express Delivery",2025-03-30,"Utilities","Utilities purchase from Express Delivery"
2491.08,"Premier Catering",2025-09-24,"Utilities","Utilities purchase from Premier Catering"
499.84,"Metro Transit",2025-07-09,"Software","Software purchase from Metro Transit"
285.70,"TechCorp Solutions",2025-10-19,"Transportation","Transportation purchase from TechCorp Solutions"
296624.42,"Corporate Travel",2025-07-25,"Office Supplies","Office Supplies purchase from Corporate Travel"
113.07,"QuickMart",2025-06-08,"Equipment","Equipment purchase from QuickMart"
304.26,"Elite Consulting",2025-09-22,"Professional Services","Professional Services purchase from Elite Consulting"
338.61,"Professional Services LLC",2025-08-09,"Equipment","Equipment purchase from Professional Services LLC"
211.84,"Elite Consulting",2025-07-08,"Professional Services","Professional Services purchase from Elite Consulting"
24995.85,"Fraudulent Patterns Inc",2025-08-01,"Transportation","Transportation purchase from Fraudulent Patterns Inc"
444.45,"Global Supplies Inc",2025-08-01,"Maintenance","Maintenance purchase from Global Supplies Inc"
93.59,"Digital Solutions",2025-02-03,"Office Supplies","Office Supplies purchase from Digital Solutions"
227.15,"Office Depot",2025-04-05,"Software","Software purchase from Office Depot"
46787.23,"Premier Catering",2025-10-17,"Office Supplies","Office Supplies purchase from Premier Catering"
519.29,"Corporate Travel",2025-06-26,"Transportation","Transportation purchase from Corporate Travel"
35823.35,"Office Depot",2025-06-25,"Professional Services","Professional Services purchase from Office Depot"
